Latitude,Longitude,ID
42.41541,1.98827,130dac8d-c58b-4fce-ab37-a405c9004a47
46.88891,2.45154,f84e7a40-aebe-42a9-aa32-371fd65515c8
46.85826,2.45984,d97946f7-90e7-4759-9cf2-19066e5f71c1
42.47312,2.35999,7720b375-40fb-4009-a7e7-ddb3a4cd8fad
46.88891,2.45154,0b00ff5a-be56-4d72-bee4-b88544ab9f18
46.99295,2.27627,55cffd66-ddf8-4801-b85a-32fd8d18ec86
46.93873,2.25767,db197e97-a0a5-454d-8c71-7c53f1e92e98
42.40556,1.99598,24360f70-2d67-43ca-a678-a2dd8adcc7d4
46.86052,2.45772,8c00977e-b1e2-4304-92c1-d949e669914a
46.99295,2.27627,57d14d6c-bfab-468e-bcfe-ac05cc0a3a5f
42.40556,1.99611,bbceef98-8f53-4aa3-829d-b2a89f92cf3b
42.40569,1.99598,713a4396-6ff9-410d-a415-40139d09b905
46.95346,2.2818,7b9484f3-a850-4e21-8c1a-131b432b9953
46.93873,2.25767,4c397dc8-ee38-4b2f-9d58-855cb98c23f7
