BDD_NOM,BDD_MIN,ICON,BDD_URL
INPN,inpn,https://maps.google.com/mapfiles/kml/paddle/ylw-circle-lv.png,https://openobs.mnhn.fr/openobs-hub/occurrences/
OBSERVATION,observation,https://maps.google.com/mapfiles/kml/paddle/blu-circle-lv.png,https://observation.org/observation/
INATURALIST,inaturalist,https://maps.google.com/mapfiles/kml/paddle/grn-circle-lv.png,https://www.inaturalist.org/observations/
GBIF,gbif,https://maps.google.com/mapfiles/kml/paddle/wht-circle-lv.png,https://www.gbif.org/occurrence/
FAUNE-FRANCE,faune-france,https://maps.google.com/mapfiles/kml/paddle/red-circle-lv.png,https://www.faune-france.org/index.php?m_id=54&id=
