Latitude,Longitude
44.0349366577,4.9967619404
43.124865,3.097284
43.9274008703,4.2986020446
43.0944040188,5.8962866404
43.140943,3.131243
43.6555132039,3.8198565984
43.6552897164,3.8196081617
44.6189416667,4.837555
44.7855894021,4.6922924803
43.6356729528,6.0500608306
43.6207107499,7.0548240123
43.8331933997,4.6098800997
43.543705,6.69102
44.3873327577,4.2843791715
43.2152533333,5.5432716667
43.2152333333,5.5433366667
43.2152533333,5.54328
43.2152783333,5.5433283333
43.2623723868,5.3965978801
44.1001111111,4.6598611111
42.6420052405,9.444035397
42.4006472952,9.5323874429
43.2164577869,5.4335328564
43.2981067093,3.4080985368
43.7197182668,7.2759074748
43.7899434,4.2510823533
43.7025436928,7.3101674906
46.29375669,6.07799222
44.0337219236,5.0047578811
43.622254,3.00471
43.622254,3.00471
43.586297,2.955609
44.1075611402,3.5158201307
43.354066,2.7466
43.77238,4.832745
43.776745,4.8355133333
43.45344824,5.41802579
44.2504806517,4.8261027336
43.8525196857,4.3383616755
42.6377085736,2.7666171268
42.6461072406,2.7810591459
42.6365556847,2.7682640031
43.1610179369,5.6173313062
41.7079792984,9.3723147732
43.3456129521,5.392678675
44.5091773224,4.2190592086
43.3721916667,1.5456833333
43.6984411802,7.0377186699
43.0009910304,6.196563407
43.8628217351,3.9828601107
43.8274386142,5.264912011
44.8031191146,5.801256001
43.781355169,4.5849989378
42.6347712614,2.7654905152
44.99528,-0.4501533333
44.837211651,5.7566676289
44.4092378419,-0.8153187856
43.2520065278,2.6522700556
43.8700416217,3.6976473031
43.88025,4.92822
43.6303583333,2.50208
45.0752748207,-1.1515554786
45.7719028,4.8249176
44.3733095045,3.8346690685
44.1193068692,3.5979585547
44.3413013232,1.0180659592
43.0003760689,6.1675297469
42.8048567083,2.2376489639
43.7401366667,7.2575633333
43.1635602108,6.0290094092
43.163204387,6.0290848464
43.1632488957,6.0286707804
43.2729112573,5.4784935144
43.2729112573,5.4784935144
43.9131923878,5.0481369719
43.2717456692,5.4740809345
44.2786383333,1.00275
43.1634416667,6.0285638333
42.6004674273,2.9704328254
43.6016438669,6.9890506379
43.8343659524,3.6917307973
43.7218248,4.702503
43.1097985111,1.227954428
42.8424565362,2.9126774892
43.7675991374,4.1031432711
44.4221996054,4.9265826602
44.4221996054,4.9265826602
44.4221996054,4.9265826602
43.4102668762,6.3981781006
43.622177164,7.1280888248
43.1844413558,3.0030779913
43.29,3.5161111111
43.5587134649,3.5292622107
44.429445,4.859675
42.6021633428,2.0058333333
43.6220366667,7.1285861667
44.4366649864,4.3177623209
43.7545521856,4.79927015
43.6777212471,1.3227916416
42.67615,3.0331138333
43.1217166667,6.1251555556
44.715587616,4.5758099556
43.4628458182,3.5948020849
43.1768616411,5.9228633344
43.5074818268,7.0464832708
43.3966627861,5.0631958991
43.5585202808,3.3627033504
43.6908334349,3.8729083339
43.7327833333,3.9074916667
44.3322157706,3.7120374375
43.6775883333,5.0649166667
43.743522,4.220695
43.7747347393,4.8328276724
44.0556916667,4.8330583333
44.899370348,0.7006232053
45.8795916385,1.0537668318
42.6860654039,2.8966330509
43.6782333265,3.7278628371
43.5054116667,5.5454783333
43.5243796114,5.4440596295
43.0973129272,5.8296723366
44.2788851971,4.1948243599
44.0889103789,3.9600813648
43.6921981783,5.5035192219
42.5981057264,3.0048584302
43.6657902007,3.6779327052
44.5445747157,4.3454011193
43.6390971418,5.1644640889
44.5968762221,4.2606122419
43.3102859722,3.1159789722
43.5986265425,4.3707223581
44.7765618185,-0.6057211457
43.887808499,5.8285229655
43.3155861111,2.7995277778
43.8237872066,4.6054616355
44.1126666667,1.1449028333
43.5685343932,5.8007084951
43.1233492902,5.8168929443
43.6005610536,1.4394772053
44.5968396952,4.2601680011
43.5156469422,3.701319024
43.7729146601,3.8383762737
43.6545919812,3.8921545073
43.6019205035,3.6194831463
43.6022837204,3.6201558091
43.4930659596,3.6754604351
43.3859291075,6.3328914642
42.63393113,2.7452507
44.4506416945,4.3087035371
43.4377011932,5.6882407889
44.0520628,4.1366387
45.7196011448,4.8053542915
43.6322083333,3.866925
44.148989,4.682918
43.0056364255,6.1113695241
43.5726399199,4.2867899314
43.5863505108,5.018347688
44.1118131746,4.0189277753
43.8149589544,3.7674520773
43.8073979688,3.6643514782
41.6753317312,9.3278448656
43.1924828485,5.6133689359
43.1924828485,5.6133689359
44.0393766667,4.921185
43.3791885375,2.9149076936
43.3742446897,2.9109261033
