Latitude,Longitude
43.998,4.696
43.383,3.545
44.243,5.209
43.973,4.555
44.099,4.024
42.911,2.798
43.758,4.490
44.012,4.423
44.796,5.125
44.107,4.709
43.899,4.517
43.163,5.971
43.480,5.765
44.109,4.358
43.469,3.477
43.307,3.243
43.735,4.170
43.691,4.072
43.502,6.347
43.805,3.810
43.480,3.614
44.336,4.210
43.926,4.589
43.966,3.429
43.325,5.593
43.399,3.515
43.453,1.453
43.826,4.327
43.824,4.332
44.336,5.858
43.932,3.481
43.773,4.396
43.691,4.077
42.913,2.798
44.391,4.184
43.802,3.783
43.877,4.312

