Latitude,Longitude
44.413,4.139
43.557,4.665
42.908,2.941
44.146,4.837
43.834,4.443
43.695,5.030
44.248,6.084
43.178,2.543
44.542,1.449
43.580,2.965
43.875,4.312
45.083,5.159
44.387,1.047
43.432,5.057
44.119,3.588
45.631,4.819
45.756,4.893
43.195,2.611
43.970,4.538
42.571,2.809
43.117,6.322
44.266,4.904
43.742,4.422
43.891,3.688
44.330,0.924
43.813,3.600
44.323,0.930
43.713,3.994
42.920,2.809
43.554,3.837
43.970,4.541
44.601,5.461
43.669,3.740
43.261,2.360
43.675,4.629
44.074,3.197
44.136,4.801
44.248,4.886
43.913,4.630
44.875,4.548
43.802,4.832
44.226,3.235
42.885,0.796
44.147,4.842
42.709,3.025
43.947,4.559
42.302,9.178
44.381,1.060
43.653,3.869
43.969,4.539
43.664,3.337
43.681,6.957
43.480,3.699
44.569,5.505
43.815,4.343
43.632,3.760
43.810,4.356
43.069,6.149
43.161,6.100
43.769,2.062
43.475,2.716
44.108,4.704
43.303,6.624
43.826,3.771
44.045,4.765
43.862,4.282
43.319,3.292
44.056,0.388
44.452,1.093
43.096,6.166
43.717,4.138
43.001,9.387
42.993,9.352
44.199,5.942
43.487,3.654
44.820,4.666
43.389,5.932
44.187,6.125
43.516,5.746
43.986,4.233
43.862,3.707
43.524,5.290
44.806,1.159
44.208,4.869
43.752,4.796
44.677,4.914
43.781,3.329
43.881,3.960
44.243,6.065
44.036,4.329
44.238,5.150
43.737,4.120
44.921,1.332
44.817,4.697
43.514,5.252
43.235,5.567
43.884,4.048
43.634,3.786
43.851,3.254
43.615,4.024
44.914,1.375
43.887,4.684
44.194,3.218
42.527,2.790
44.902,4.924
43.736,3.263
43.085,6.151
44.186,4.855
43.468,4.886
43.675,5.460
43.915,2.080
44.075,1.612
43.356,5.039
42.563,3.028
43.176,2.542
44.238,5.151
43.662,3.529
45.389,-1.156
44.821,4.614
43.675,3.866
44.224,5.916
43.384,3.541
43.201,5.507
43.899,4.697
44.048,2.111
44.188,4.745
43.940,3.973
43.392,3.559
44.557,5.167
43.215,3.090
44.231,1.529
43.669,4.099
44.824,4.675
43.756,4.491
44.150,1.876
43.132,5.816
44.103,3.541
43.370,6.423
43.967,4.543
43.449,6.097
43.779,-1.407
43.897,3.692
43.779,4.475
43.585,3.969
43.715,4.285
44.212,5.951
43.925,5.892
43.678,3.799
43.881,4.479
43.764,4.399
44.021,4.403
43.969,4.540
44.246,6.073
43.693,5.117
43.708,4.290
44.341,0.918
43.637,2.054
45.029,-1.174
44.184,3.073
43.590,3.964
